2.22,53.543,53.017,52.614,52.301,52.053
2.23,53.551,53.026,52.622,52.309,52.06
2.24,53.559,53.034,52.63,52.316,52.067
2.25,53.567,53.042,52.638,52.324,52.074
2.26,53.575,53.05,52.646,52.331,52.081
2.27,53.583,53.058,52.654,52.339,52.088
2.28,53.591,53.066,52.662,52.346,52.095
2.29,53.599,53.074,52.669,52.353,52.101
2.3,53.607,53.082,52.677,52.361,52.108
2.31,53.614,53.09,52.685,52.368,52.115
2.32,53.622,53.098,52.693,52.375,52.122
2.33,53.63,53.106,52.7,52.383,52.129
2.34,53.637,53.114,52.708,52.39,52.136
2.35,53.645,53.122,52.716,52.397,52.143
2.36,53.652,53.13,52.723,52.404,52.149
2.37,53.66,53.137,52.731,52.411,52.156
2.38,53.667,53.145,52.738,52.419,52.163
2.39,53.675,53.153,52.746,52.426,52.17
2.4,53.682,53.161,52.753,52.433,52.176
2.41,53.689,53.168,52.761,52.44,52.183
2.42,53.697,53.176,52.768,52.447,52.19
2.43,53.704,53.183,52.776,52.454,52.197
2.44,53.711,53.191,52.783,52.461,52.203
2.45,53.718,53.199,52.79,52.468,52.21
2.46,53.725,53.206,52.798,52.475,52.216
2.47,53.732,53.213,52.805,52.482,52.223
2.48,53.739,53.221,52.812,52.489,52.23
2.49,53.746,53.228,52.82,52.496,52.236
2.5,53.753,53.236,52.827,52.503,52.243
2.51,53.76,53.243,52.834,52.51,52.249
2.52,53.767,53.25,52.841,52.517,52.256
2.53,53.774,53.258,52.849,52.524,52.262
2.54,53.781,53.265,52.856,52.531,52.269
2.55,53.787,53.272,52.863,52.538,52.275
2.56,53.794,53.279,52.87,52.545,52.282
2.57,53.801,53.286,52.877,52.551,52.288
2.58,53.807,53.294,52.884,52.558,52.295
2.59,53.814,53.301,52.891,52.565,52.301
2.6,53.821,53.308,52.898,52.572,52.308
2.61,53.827,53.315,52.905,52.578,52.314
2.62,53.834,53.322,52.912,52.585,52.321
2.63,53.84,53.329,52.919,52.592,52.327
2.64,53.847,53.336,52.926,52.598,52.333
2.65,53.853,53.343,52.933,52.605,52.34
2.66,53.859,53.349,52.94,52.612,52.346
2.67,53.866,53.356,52.947,52.618,52.352
2.68,53.872,53.363,52.954,52.625,52.359
2.69,53.878,53.37,52.96,52.632,52.365
2.7,53.884,53.377,52.967,52.638,52.371
2.71,53.891,53.383,52.974,52.645,52.377
2.72,53.897,53.39,52.981,52.651,52.384
2.73,53.903,53.397,52.987,52.658,52.39
2.74,53.909,53.404,52.994,52.664,52.396
2.75,53.915,53.41,53.001,52.671,52.402
2.76,53.921,53.417,53.007,52.677,52.408
2.77,53.927,53.423,53.014,52.684,52.415
2.78,53.933,53.43,53.021,52.69,52.421
2.79,53.939,53.436,53.027,52.696,52.427
2.8,53.945,53.443,53.034,52.703,52.433
2.81,53.95,53.449,53.04,52.709,52.439
2.82,53.956,53.456,53.047,52.716,52.445
2.83,53.962,53.462,53.053,52.722,52.451
2.84,53.968,53.469,53.06,52.728,52.457
2.85,53.974,53.475,53.066,52.735,52.463
2.86,53.979,53.481,53.073,52.741,52.469
2.87,53.985,53.488,53.079,52.747,52.475
2.88,53.991,53.494,53.086,52.753,52.481
2.89,53.996,53.5,53.092,52.76,52.487
2.9,54.002,53.507,53.098,52.766,52.493
2.91,54.007,53.513,53.105,52.772,52.499
2.92,54.013,53.519,53.111,52.778,52.505
2.93,54.018,53.525,53.117,52.784,52.511
2.94,54.024,53.531,53.123,52.79,52.517
2.95,54.029,53.537,53.13,52.797,52.523
2.96,54.034,53.543,53.136,52.803,52.529
2.97,54.04,53.549,53.142,52.809,52.535
2.98,54.045,53.555,53.148,52.815,52.541
2.99,54.05,53.561,53.154,52.821,52.546
3,54.056,53.567,53.161,52.827,52.552
3.01,54.061,53.573,53.167,52.833,52.558
3.02,54.066,53.579,53.173,52.839,52.564
3.03,54.071,53.585,53.179,52.845,52.57
3.04,54.076,53.591,53.185,52.851,52.575
3.05,54.081,53.597,53.191,52.857,52.581
3.06,54.087,53.603,53.197,52.863,52.587
3.07,54.092,53.609,53.203,52.869,52.593
3.08,54.097,53.614,53.209,52.875,52.598
3.09,54.102,53.62,53.215,52.881,52.604
3.1,54.107,53.626,53.221,52.887,52.61
3.11,54.112,53.632,53.227,52.892,52.616
3.12,54.117,53.637,53.233,52.898,52.621
3.13,54.121,53.643,53.239,52.904,52.627
3.14,54.126,53.649,53.244,52.91,52.633
3.15,54.131,53.654,53.25,52.916,52.638
3.16,54.136,53.66,53.256,52.921,52.644
3.17,54.141,53.665,53.262,52.927,52.649
3.18,54.145,53.671,53.268,52.933,52.655
3.19,54.15,53.677,53.273,52.939,52.661
3.2,54.155,53.682,53.279,52.944,52.666
3.21,54.16,53.687,53.285,52.95,52.672
3.22,54.164,53.693,53.291,52.956,52.677
3.23,54.169,53.698,53.296,52.961,52.683
3.24,54.174,53.704,53.302,52.967,52.688
3.25,54.178,53.709,53.308,52.973,52.694
3.26,54.183,53.715,53.313,52.978,52.699
3.27,54.187,53.72,53.319,52.984,52.705
3.28,54.192,53.725,53.325,52.99,52.71
3.29,54.196,53.731,53.33,52.995,52.716
3.3,54.201,53.736,53.336,53.001,52.721
3.31,54.205,53.741,53.341,53.006,52.726
3.32,54.209,53.746,53.347,53.012,52.732
3.33,54.214,53.752,53.352,53.017,52.737
3.34,54.218,53.757,53.358,53.023,52.743
3.35,54.223,53.762,53.363,53.028,52.748
3.36,54.227,53.767,53.369,53.034,52.753
3.37,54.231,53.772,53.374,53.039,52.759
3.38,54.235,53.777,53.379,53.045,52.764
3.39,54.24,53.782,53.385,53.05,52.769
3.4,54.244,53.787,53.39,53.056,52.775
3.41,54.248,53.792,53.396,53.061,52.78
3.42,54.252,53.797,53.401,53.066,52.785
3.43,54.256,53.802,53.406,53.072,52.79
3.44,54.26,53.807,53.412,53.077,52.796
3.45,54.265,53.812,53.417,53.082,52.801
3.46,54.269,53.817,53.422,53.088,52.806
3.47,54.273,53.822,53.427,53.093,52.811
3.48,54.277,53.827,53.433,53.098,52.817
3.49,54.281,53.832,53.438,53.104,52.822
3.5,54.285,53.837,53.443,53.109,52.827
3.51,54.289,53.842,53.448,53.114,52.832
3.52,54.293,53.847,53.453,53.119,52.837
3.53,54.296,53.851,53.458,53.124,52.842
3.54,54.3,53.856,53.464,53.13,52.848
3.55,54.304,53.861,53.469,53.135,52.853
3.56,54.308,53.866,53.474,53.14,52.858
3.57,54.312,53.87,53.479,53.145,52.863
3.58,54.316,53.875,53.484,53.15,52.868
3.59,54.32,53.88,53.489,53.155,52.873
3.6,54.323,53.884,53.494,53.161,52.878
3.61,54.327,53.889,53.499,53.166,52.883
3.62,54.331,53.894,53.504,53.171,52.888
3.63,54.335,53.898,53.509,53.176,52.893
3.64,54.338,53.903,53.514,53.181,52.898
3.65,54.342,53.907,53.519,53.186,52.903
3.66,54.346,53.912,53.524,53.191,52.908
3.67,54.349,53.916,53.529,53.196,52.913
3.68,54.353,53.921,53.534,53.201,52.918
3.69,54.356,53.925,53.539,53.206,52.923
3.7,54.36,53.93,53.543,53.211,52.928
3.71,54.363,53.934,53.548,53.216,52.933
3.72,54.367,53.939,53.553,53.221,52.938
3.73,54.37,53.943,53.558,53.226,52.943
3.74,54.374,53.948,53.563,53.231,52.948
3.75,54.377,53.952,53.567,53.236,52.953
3.76,54.381,53.956,53.572,53.241,52.957
3.77,54.384,53.961,53.577,53.245,52.962
3.78,54.388,53.965,53.582,53.25,52.967
3.79,54.391,53.969,53.586,53.255,52.972
3.8,54.394,53.974,53.591,53.26,52.977
3.81,54.398,53.978,53.596,53.265,52.982
3.82,54.401,53.982,53.601,53.27,52.986
3.83,54.404,53.986,53.605,53.274,52.991
3.84,54.408,53.991,53.61,53.279,52.996
3.85,54.411,53.995,53.614,53.284,53.001
3.86,54.414,53.999,53.619,53.289,53.006
3.87,54.418,54.003,53.624,53.294,53.01
3.88,54.421,54.007,53.628,53.298,53.015
3.89,54.424,54.011,53.633,53.303,53.02
3.9,54.427,54.015,53.637,53.308,53.024
3.91,54.43,54.02,53.642,53.312,53.029
3.92,54.434,54.024,53.646,53.317,53.034
3.93,54.437,54.028,53.651,53.322,53.038
3.94,54.44,54.032,53.655,53.326,53.043
3.95,54.443,54.036,53.66,53.331,53.048
3.96,54.446,54.04,53.664,53.336,53.052
3.97,54.449,54.044,53.669,53.34,53.057
3.98,54.452,54.048,53.673,53.345,53.062
3.99,54.455,54.052,53.678,53.349,53.066
4,54.458,54.056,53.682,53.354,53.071
4.01,54.461,54.06,53.686,53.359,53.075
4.02,54.464,54.063,53.691,53.363,53.08
4.03,54.467,54.067,53.695,53.368,53.085
